Day,Cash On Hand
11,214990
12,1007414
13,503734
14,420844
15,205988
16,570878
17,491434
18,516377
19,353707
20,1694477
21,158844
22,365195
23,282966
24,959817
25,3293094
26,4128700
27,7328119
28,7701925
29,10992422
30,11601360
31,12148568
32,12618342
33,20493597
34,29199324
35,38365089
36,39659521
37,43100853
38,45822504
39,46719228
40,48947423
41,49356072
42,51345497
43,53124514
44,61103794
45,70923272
46,73467435
47,76460485
48,79234586
49,81913582
50,85110607
51,87973821
52,99364729
53,109798706
54,120026063
55,123309237
56,128177824
57,130542510
58,134154196
59,137170085
60,140822240
61,144966186
62,147562388
63,150558234
64,154258630
65,172042499
66,176141954
67,178524272
68,183468447
69,188399656
70,211176171
71,232548039
72,253213142
73,258954777
74,264191697
75,270038498
76,275838824
77,280896859
78,287205221
79,292971101
80,299371815
81,306074585
82,312417250
83,319472480
84,359574059
85,392794130
86,400055963
87,405717128
88,411584066
89,419091561
90,426359054
