"Day","Sales","Trading Profit","Operating Expense","Net Profit"
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,344120,-344120
3,170968,86643,445040,-358397
4,450686,-604252,644194,-1248446
5,789683,-404600,687114,-1091714
6,2030346,704816,730178,-25362
7,2397686,917142,776387,140755
8,2835119,611947,824051,-212104
9,3305918,928155,900685,28497
10,3958939,723186,1137798,-413071
11,4585457,1159431,1325564,-164335
12,7180912,2659886,1389645,1270241
13,7869789,2214148,3545946,-1328716
14,8671696,2848456,3602943,-752432
15,9481246,3430602,3662409,-229239
16,10285381,3309661,3955404,-643431
17,11227970,4081212,4014692,68703
18,13456806,5259039,4371660,887379
19,14394925,6007534,4447165,1560369
20,16579603,8048836,4538953,3509883
21,17665074,7493233,8420057,-924769
22,18794659,8476282,8476599,710
23,20145751,9662067,8530792,1131275
24,21567339,10909421,8589329,2320092
25,24563961,13544498,8782182,4762316
26,26195263,14979209,8844878,6134331
27,30230439,17366095,9337835,8028260
28,32017066,18984665,9407542,9577123
29,35382951,22202303,9476930,12725373
30,36972163,23658212,9541860,14116352
31,38596285,23686591,9989414,13697177
32,40234499,25173298,10056890,15116408
33,49607948,32918466,10839056,22079410
34,59528776,41692886,11432237,30260649
35,69757745,51261142,11485980,39775162
36,72114574,52622384,11767377,40855007
37,76348180,56659228,11847986,44811242
38,79458958,59540309,11915313,47624996
39,81481789,61407781,11983090,49424691
40,83774337,63558269,12057443,51500826
41,86177083,65824599,12124261,53700338
42,88418051,66262543,12385804,53876739
43,91055331,68628252,12498949,56129303
44,100352780,77396739,12577138,64819601
45,110595943,86637569,12781323,73856246
46,113406707,89296212,12847924,76448288
47,116800092,92541103,12914009,79627094
48,119948344,95531409,12983160,82548249
49,123035293,98460935,13052513,85408422
50,126290767,101562594,13120962,88441632
51,129575666,104691183,13215147,91476036
52,141022482,115616169,13281055,102335114
53,151978809,126073960,13348411,112725549
54,162751929,136366102,13448502,122917600
55,166092330,139568057,13515729,126052328
56,171305669,144659631,13642645,131016986
57,173972734,147224188,13715654,133508534
58,177643842,150758752,13785076,136973676
59,181432032,154409633,13857052,140552581
60,185644648,157764096,14060223,143703873
61,189917374,161583119,14199003,147384116
62,193559327,165094637,14277887,150816750
63,197155331,168555379,14404045,154151334
64,200966130,172227916,14514448,157713468
65,219152080,189763013,14584729,175178284
66,223330813,193798959,14664007,179134952
67,226856484,197197764,14754369,182443395
68,231918259,202079943,14871969,187207974
69,237329359,207299984,14988260,192311724
70,261083690,230263745,15630076,214633669
71,282979598,251422498,15759376,235663122
72,304237295,271951581,15915060,256036521
73,311084373,278608047,16336053,262271994
74,316600575,283935218,16615335,267319883
75,322723300,289813731,16891259,272922472
76,328873973,295767276,17163326,278603950
77,335300847,301990547,17389387,284601160
78,342002827,308480573,17627485,290853088
79,348821185,315095634,17867971,297227663
80,355654756,321721565,18300828,303420737
81,363326443,329177379,18765785,310411594
82,370261295,335913088,19357972,316555116
83,377904754,343343938,19946201,323397737
84,419129850,382285060,20826510,361458550
85,453052156,415307860,21528745,393779115
86,461788740,423804641,22283136,401521505
87,469807011,431602944,23940642,407662302
88,478114007,439684622,25698620,413986002
89,487673131,448981179,27357429,421623750
90,497666312,458703811,29069917,429633894
